country,total_capacity_kboed_equiv,latest_capacity_at_risk_kboed_equiv,max_capacity_at_risk_kboed_equiv,product_group,share_latest_at_risk,share_max_at_risk
IRAN,2175,0,400,oil,0,0.1839080459770115
SAUDI ARABIA,2100,0,120,oil,0,0.05714285714285714
KUWAIT,831,0,240,oil,0,0.2888086642599278
EGYPT,725.55,0,0,oil,0,0
IRAQ,485.5,0,0,oil,0,0
ISRAEL,240,0,0,oil,0,0
SYRIA,240,0,0,oil,0,0
QATAR,200,0,200,oil,0,1
SUDAN,141.7,0,21.7,oil,0,0.15314043754410728
YEMEN,130,0,0,oil,0,0
OMAN,106,0,0,oil,0,0
JORDAN,90.4,0,0,oil,0,0
ERITREA,14.6,0,0,oil,0,0
